"","ki","kc","ka"
"1",0,"0","Ethanol"
"2",0,"0","Ethanol"
"3",0.482049341,"0.0075","Ethanol"
"4",0.038422342,"0.0075","Ethanol"
"5",0.580438564,"0.0125","Ethanol"
"6",0.625880341,"0.0125","Ethanol"
"7",0.754923148,"0.025","Ethanol"
"8",0.677715819,"0.025","Ethanol"
"9",1,"0.0625","Ethanol"
"10",1,"0.0625","Ethanol"
"11",0,"0","IPA"
"12",0,"0","IPA"
"13",0.051193895,"0.0025","IPA"
"14",0.099041183,"0.0025","IPA"
"15",0.244326339,"0.0075","IPA"
"16",0.275906157,"0.0075","IPA"
"17",0.419984182,"0.0125","IPA"
"18",0.646129903,"0.0125","IPA"
"19",0.471043308,"0.025","IPA"
"20",0.649316323,"0.025","IPA"
"21",0.665790903,"0.0625","IPA"
"22",0.825705271,"0.0625","IPA"
"23",1,"0.0875","IPA"
"24",1,"0.0875","IPA"
"25",1,"0.0025","Acetone"
"26",0.092833295,"0.0025","Acetone"
"27",0.332320419,"0.0375","Acetone"
"28",1,"0.0375","Acetone"
"29",0,"0.0875","Acetone"
"30",0.96438428,"0.0875","Acetone"
"31",0,"0","H2S"
"32",0,"0","H2S"
"33",0.377217173,"0.0025","H2S"
"34",0,"0.0025","H2S"
"35",0.480047648,"0.0075","H2S"
"36",0.560686985,"0.0075","H2S"
"37",0.026611032,"0.0075","H2S"
"38",0.639513404,"0.0125","H2S"
"39",0.781464772,"0.0125","H2S"
"40",0.065537035,"0.0125","H2S"
"41",0.642389395,"0.025","H2S"
"42",1,"0.025","H2S"
"43",0.350330535,"0.025","H2S"
"44",1,"0.0375","H2S"
"45",0.636533841,"0.0375","H2S"
"46",1,"0.0375","H2S"
"47",0.824724274,"0.0625","H2S"
"48",0.600011424,"0.0625","H2S"
